run_name,results_dir,selection,selected_forget_chunks,train_chunk_count,eval_chunk_count,training_seconds,base_anchor_recall,unlearn_anchor_recall,anchor_recall_delta,base_hp_perplexity,unlearn_hp_perplexity,hp_perplexity_delta,base_control_perplexity,unlearn_control_perplexity,control_perplexity_delta,run_dir
emotion,results/iliad,emotion,447,453,50,785.289667998999,0.06227469869602847,0.01649067867632796,-0.04578402001970051,16.1288102306615,28.696936523003092,12.568126292341592,12.895904748065307,13.376754952275485,0.4808502042101779,selective_unlearning_runs/iliad/emotion
random,results/iliad,random,453,453,50,795.8900884260001,0.05829846056751565,0.01578106920114004,-0.04251739136637561,16.1288102306615,27.853314743205008,11.724504512543508,12.895904748065307,13.352286976701858,0.4563822286365511,selective_unlearning_runs/iliad/random
surprisal,results/iliad,surprisal,447,453,50,785.4597799099993,0.06642779857602382,0.018635559390107168,-0.04779223918591666,16.1288102306615,29.32978992977818,13.20097969911668,12.895904748065307,13.352952330836194,0.45704758277088686,selective_unlearning_runs/iliad/surprisal
